replicate	transition	base_qc	removed_ei	removed_er	removed_subjects	rng	seed	draw_order
14	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-066;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
15	Q0_to_Q1	Q0_all	0	2	sub-018;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
15	Q1_to_Q2	Q1_lenient	0	3	sub-032;sub-040;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
16	Q0_to_Q1	Q0_all	0	2	sub-082;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
16	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-052;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
17	Q0_to_Q1	Q0_all	0	2	sub-056;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
17	Q1_to_Q2	Q1_lenient	0	3	sub-050;sub-096;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
18	Q0_to_Q1	Q0_all	0	2	sub-100;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
18	Q1_to_Q2	Q1_lenient	0	3	sub-058;sub-072;sub-074	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
19	Q0_to_Q1	Q0_all	0	2	sub-082;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
19	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-032;sub-074	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
20	Q0_to_Q1	Q0_all	0	2	sub-010;sub-090	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
20	Q1_to_Q2	Q1_lenient	0	3	sub-074;sub-110;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
21	Q0_to_Q1	Q0_all	0	2	sub-016;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
21	Q1_to_Q2	Q1_lenient	0	3	sub-040;sub-066;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
22	Q0_to_Q1	Q0_all	0	2	sub-092;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
22	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-020;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
23	Q0_to_Q1	Q0_all	0	2	sub-022;sub-054	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
23	Q1_to_Q2	Q1_lenient	0	3	sub-026;sub-038;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
24	Q0_to_Q1	Q0_all	0	2	sub-008;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
24	Q1_to_Q2	Q1_lenient	0	3	sub-010;sub-056;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
25	Q0_to_Q1	Q0_all	0	2	sub-002;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
25	Q1_to_Q2	Q1_lenient	0	3	sub-038;sub-040;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
26	Q0_to_Q1	Q0_all	0	2	sub-074;sub-082	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
26	Q1_to_Q2	Q1_lenient	0	3	sub-050;sub-066;sub-084	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
27	Q0_to_Q1	Q0_all	0	2	sub-096;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
27	Q1_to_Q2	Q1_lenient	0	3	sub-026;sub-070;sub-104	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
28	Q0_to_Q1	Q0_all	0	2	sub-088;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
28	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-082;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
29	Q0_to_Q1	Q0_all	0	2	sub-018;sub-022	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
29	Q1_to_Q2	Q1_lenient	0	3	sub-062;sub-102;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
30	Q0_to_Q1	Q0_all	0	2	sub-030;sub-056	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
30	Q1_to_Q2	Q1_lenient	0	3	sub-010;sub-020;sub-070	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
31	Q0_to_Q1	Q0_all	0	2	sub-002;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
31	Q1_to_Q2	Q1_lenient	0	3	sub-036;sub-080;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
32	Q0_to_Q1	Q0_all	0	2	sub-046;sub-050	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
32	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-066;sub-068	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
33	Q0_to_Q1	Q0_all	0	2	sub-088;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
33	Q1_to_Q2	Q1_lenient	0	3	sub-008;sub-018;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
34	Q0_to_Q1	Q0_all	0	2	sub-062;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
34	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-058;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
35	Q0_to_Q1	Q0_all	0	2	sub-024;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
35	Q1_to_Q2	Q1_lenient	0	3	sub-032;sub-064;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
36	Q0_to_Q1	Q0_all	0	2	sub-076;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
36	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-024;sub-082	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
37	Q0_to_Q1	Q0_all	0	2	sub-094;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
37	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-036;sub-066	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
38	Q0_to_Q1	Q0_all	0	2	sub-054;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
38	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-066;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
39	Q0_to_Q1	Q0_all	0	2	sub-040;sub-046	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
39	Q1_to_Q2	Q1_lenient	0	3	sub-054;sub-092;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
40	Q0_to_Q1	Q0_all	0	2	sub-054;sub-106	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
40	Q1_to_Q2	Q1_lenient	0	3	sub-002;sub-080;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
41	Q0_to_Q1	Q0_all	0	2	sub-008;sub-052	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
41	Q1_to_Q2	Q1_lenient	0	3	sub-056;sub-074;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
42	Q0_to_Q1	Q0_all	0	2	sub-006;sub-082	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
42	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-050;sub-062	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
43	Q0_to_Q1	Q0_all	0	2	sub-020;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
43	Q1_to_Q2	Q1_lenient	0	3	sub-060;sub-094;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
44	Q0_to_Q1	Q0_all	0	2	sub-036;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
44	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-020;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
45	Q0_to_Q1	Q0_all	0	2	sub-038;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
45	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-082;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
46	Q0_to_Q1	Q0_all	0	2	sub-024;sub-030	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
46	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-024;sub-074	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
47	Q0_to_Q1	Q0_all	0	2	sub-008;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
47	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-046;sub-090	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
48	Q0_to_Q1	Q0_all	0	2	sub-008;sub-020	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
48	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-006;sub-038	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
49	Q0_to_Q1	Q0_all	0	2	sub-032;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
49	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-082;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
50	Q0_to_Q1	Q0_all	0	2	sub-020;sub-046	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
50	Q1_to_Q2	Q1_lenient	0	3	sub-032;sub-044;sub-064	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
51	Q0_to_Q1	Q0_all	0	2	sub-006;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
51	Q1_to_Q2	Q1_lenient	0	3	sub-060;sub-070;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
52	Q0_to_Q1	Q0_all	0	2	sub-066;sub-100	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
52	Q1_to_Q2	Q1_lenient	0	3	sub-024;sub-056;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
53	Q0_to_Q1	Q0_all	0	2	sub-026;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
53	Q1_to_Q2	Q1_lenient	0	3	sub-038;sub-074;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
54	Q0_to_Q1	Q0_all	0	2	sub-046;sub-058	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
54	Q1_to_Q2	Q1_lenient	0	3	sub-050;sub-054;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
55	Q0_to_Q1	Q0_all	0	2	sub-070;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
55	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-090;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
56	Q0_to_Q1	Q0_all	0	2	sub-022;sub-038	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
56	Q1_to_Q2	Q1_lenient	0	3	sub-002;sub-008;sub-036	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
57	Q0_to_Q1	Q0_all	0	2	sub-004;sub-100	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
57	Q1_to_Q2	Q1_lenient	0	3	sub-062;sub-098;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
58	Q0_to_Q1	Q0_all	0	2	sub-008;sub-046	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
58	Q1_to_Q2	Q1_lenient	0	3	sub-026;sub-056;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
59	Q0_to_Q1	Q0_all	0	2	sub-022;sub-084	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
59	Q1_to_Q2	Q1_lenient	0	3	sub-062;sub-072;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
60	Q0_to_Q1	Q0_all	0	2	sub-014;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
60	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-022;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
61	Q0_to_Q1	Q0_all	0	2	sub-036;sub-100	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
61	Q1_to_Q2	Q1_lenient	0	3	sub-054;sub-070;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
62	Q0_to_Q1	Q0_all	0	2	sub-056;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
62	Q1_to_Q2	Q1_lenient	0	3	sub-076;sub-096;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
63	Q0_to_Q1	Q0_all	0	2	sub-064;sub-070	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
63	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-050;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
64	Q0_to_Q1	Q0_all	0	2	sub-018;sub-046	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
64	Q1_to_Q2	Q1_lenient	0	3	sub-112;sub-116;sub-120	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
65	Q0_to_Q1	Q0_all	0	2	sub-026;sub-054	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
65	Q1_to_Q2	Q1_lenient	0	3	sub-006;sub-008;sub-090	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
66	Q0_to_Q1	Q0_all	0	2	sub-102;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
66	Q1_to_Q2	Q1_lenient	0	3	sub-008;sub-022;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
67	Q0_to_Q1	Q0_all	0	2	sub-096;sub-106	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
67	Q1_to_Q2	Q1_lenient	0	3	sub-066;sub-084;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
68	Q0_to_Q1	Q0_all	0	2	sub-004;sub-082	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
68	Q1_to_Q2	Q1_lenient	0	3	sub-038;sub-058;sub-070	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
69	Q0_to_Q1	Q0_all	0	2	sub-020;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
69	Q1_to_Q2	Q1_lenient	0	3	sub-008;sub-058;sub-068	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
70	Q0_to_Q1	Q0_all	0	2	sub-080;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
70	Q1_to_Q2	Q1_lenient	0	3	sub-044;sub-088;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
71	Q0_to_Q1	Q0_all	0	2	sub-102;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
71	Q1_to_Q2	Q1_lenient	0	3	sub-002;sub-092;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
72	Q0_to_Q1	Q0_all	0	2	sub-074;sub-094	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
72	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-090;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
73	Q0_to_Q1	Q0_all	0	2	sub-052;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
73	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-058;sub-060	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
74	Q0_to_Q1	Q0_all	0	2	sub-088;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
74	Q1_to_Q2	Q1_lenient	0	3	sub-066;sub-076;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
75	Q0_to_Q1	Q0_all	0	2	sub-098;sub-104	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
75	Q1_to_Q2	Q1_lenient	0	3	sub-056;sub-084;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
76	Q0_to_Q1	Q0_all	0	2	sub-036;sub-046	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
76	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-024;sub-066	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
77	Q0_to_Q1	Q0_all	0	2	sub-026;sub-044	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
77	Q1_to_Q2	Q1_lenient	0	3	sub-074;sub-104;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
78	Q0_to_Q1	Q0_all	0	2	sub-044;sub-056	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
78	Q1_to_Q2	Q1_lenient	0	3	sub-060;sub-070;sub-072	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
79	Q0_to_Q1	Q0_all	0	2	sub-084;sub-098	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
79	Q1_to_Q2	Q1_lenient	0	3	sub-010;sub-036;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
80	Q0_to_Q1	Q0_all	0	2	sub-084;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
80	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-052;sub-110	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
81	Q0_to_Q1	Q0_all	0	2	sub-004;sub-080	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
81	Q1_to_Q2	Q1_lenient	0	3	sub-002;sub-102;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
82	Q0_to_Q1	Q0_all	0	2	sub-018;sub-104	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
82	Q1_to_Q2	Q1_lenient	0	3	sub-040;sub-046;sub-106	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
83	Q0_to_Q1	Q0_all	0	2	sub-016;sub-092	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
83	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-050;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
84	Q0_to_Q1	Q0_all	0	2	sub-080;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
84	Q1_to_Q2	Q1_lenient	0	3	sub-008;sub-024;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
85	Q0_to_Q1	Q0_all	0	2	sub-058;sub-100	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
85	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-022;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
86	Q0_to_Q1	Q0_all	0	2	sub-054;sub-060	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
86	Q1_to_Q2	Q1_lenient	0	3	sub-004;sub-072;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
87	Q0_to_Q1	Q0_all	0	2	sub-024;sub-108	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
87	Q1_to_Q2	Q1_lenient	0	3	sub-022;sub-040;sub-112	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
88	Q0_to_Q1	Q0_all	0	2	sub-038;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
88	Q1_to_Q2	Q1_lenient	0	3	sub-026;sub-032;sub-084	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
89	Q0_to_Q1	Q0_all	0	2	sub-022;sub-064	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
89	Q1_to_Q2	Q1_lenient	0	3	sub-036;sub-054;sub-082	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
90	Q0_to_Q1	Q0_all	0	2	sub-030;sub-088	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
90	Q1_to_Q2	Q1_lenient	0	3	sub-088;sub-090;sub-096	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
91	Q0_to_Q1	Q0_all	0	2	sub-030;sub-118	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
91	Q1_to_Q2	Q1_lenient	0	3	sub-036;sub-050;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
92	Q0_to_Q1	Q0_all	0	2	sub-084;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
92	Q1_to_Q2	Q1_lenient	0	3	sub-038;sub-082;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
93	Q0_to_Q1	Q0_all	0	2	sub-088;sub-102	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
93	Q1_to_Q2	Q1_lenient	0	3	sub-014;sub-016;sub-052	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
94	Q0_to_Q1	Q0_all	0	2	sub-064;sub-116	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
94	Q1_to_Q2	Q1_lenient	0	3	sub-020;sub-066;sub-080	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
95	Q0_to_Q1	Q0_all	0	2	sub-116;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
95	Q1_to_Q2	Q1_lenient	0	3	sub-016;sub-070;sub-124	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
96	Q0_to_Q1	Q0_all	0	2	sub-060;sub-114	PCG64	20260814	replicate_major_Q0_to_Q1_then_Q1_to_Q2
