participant_id	task_version	checkpoint	checkpoint_sha256	elapsed_seconds	hostname	slurm_job_id	slurm_array_task_id	status
sub-025	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-025.npz	66f88920efecc945a87fff775cc7c9dfac49a97b7261ed12ed4c8aba0a750a49	544.6770496368408	sh04-04n23.int	39402505	21	complete
sub-026	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-026.npz	468d9a6d140d0dfd67fc93e5435470782a8f97c11baea623d8349f81c94fc024	643.6463174819946	sh03-06n05.int	39402531	22	complete
sub-027	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-027.npz	53c2d7de3fa345e6b9f1df7b049db06aa257ca133dd189aa187d72145749fe0d	650.600551366806	sh03-06n08.int	39402582	23	complete
sub-029	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-029.npz	0fea8303afc8dd5b23757eb3b5c4c128e38f7e9b89d59810a08050c1230dd5eb	564.9631454944611	sh03-06n06.int	39402583	24	complete
sub-030	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-030.npz	404c211b63848f490dd4f62297157763ec24a8f3d5799bdf3b21fa8c577d3b89	576.9896428585052	sh03-06n06.int	39402600	25	complete
sub-032	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-032.npz	c98e06e2dde0e4ff0baadba0e20b8149024841aedf09d4f4996777cbeacdb0e8	609.9965353012085	sh03-06n06.int	39402778	26	complete
sub-033	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-033.npz	1a72d75a98f2b35d62e3d134979652746d239139f4eb7afc9b8005df0c6e0396	712.6705605983734	sh03-06n06.int	39402867	27	complete
sub-035	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-035.npz	856f30475a0467df3fb376e9f2888baf0d8665d8cbf4de33161363bd1c1f4995	571.0896258354187	sh03-06n08.int	39402868	28	complete
sub-036	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-036.npz	ca31beef6820d84520598d5cdf9582fe821a8f2e3e4708612569037dc44fea59	656.0444271564484	sh04-04n24.int	39402870	29	complete
sub-037	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-037.npz	1a3332e6ce73ea46ac3daefb0b8e65e1ee841e4789b4f009c5eff8086fcaff23	830.2738816738129	sh02-06n01.int	39402871	30	complete
sub-038	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-038.npz	120458f39d63c9bcc83ed754e08bb138688778be620e91e7903d4ea6b96b97c0	568.3345701694489	sh03-06n08.int	39402966	31	complete
sub-039	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-039.npz	8d9ace6d64c644c5622e1dc63b1d3faecd9ad57d014026619cd4fdf0088ba632	543.9417777061462	sh03-06n08.int	39402967	32	complete
sub-040	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-040.npz	d8d415dc791105e24ed34a0365bedc2f75bebd03aebcb4f2b926a071fb32aa1c	517.1809394359589	sh04-04n22.int	39402980	33	complete
sub-041	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-041.npz	0363a598a28c83a060e4e70d87766507f47522fba7dc1b64608d88e31d22eb9e	894.7927358150482	sh02-06n01.int	39402981	34	complete
sub-043	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-043.npz	efad8afb2ea05eb2ff9313a61ea1552cb388f9cbd2da022cc6fecc6cd988db9d	618.1949019432068	sh03-06n05.int	39403256	35	complete
sub-044	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-044.npz	118ce4caeba03792442a8017480f63aed7f3f59551f5f9b6f5875e1ff193c631	626.9910087585449	sh04-04n23.int	39403257	36	complete
sub-045	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-045.npz	0a9a49a7b8b0de00db0df3caa60d7a5b555e771b8156fa3aed4b75409697a5ab	794.5654406547546	sh03-06n06.int	39403398	37	complete
sub-046	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-046.npz	dfd38a84a885533ea430d41472d13f2fec68a49587e5970234eaf08094ebd8da	679.2190403938293	sh03-06n05.int	39403409	38	complete
sub-047	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-047.npz	ed491dc23c02f34471b63242bb449a288098b4c7fadbb59d9547a7a9c68c2a65	596.4845652580261	sh03-06n08.int	39403410	39	complete
sub-049	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-049.npz	8ae150724c270144de493e55a9a70cf45bb49ccb998e7c1e6bae22bb821ecc84	567.1971347332001	sh03-06n06.int	39403555	40	complete
sub-050	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-050.npz	0371452d46f794c2670f00d233479c4e8e137cee04f770f42ded01e5897af118	664.356481552124	sh03-06n08.int	39403558	41	complete
sub-051	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-051.npz	fe9707ffca29379f6fca515da3558014b7cb492154ce37855c3bde5cd0f3235b	606.4997708797455	sh03-06n06.int	39403611	42	complete
sub-052	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-052.npz	d98bd1771acf0efb28011594617dfe629c587eacbd4a5a51e76bfb8616c05063	671.1677021980286	sh03-06n06.int	39403704	43	complete
sub-053	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-053.npz	6b613bb9143553a639295bdc3138e79651217ea04d356b4f3778c8607497bc77	545.8289160728455	sh03-06n08.int	39403794	44	complete
sub-054	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-054.npz	030a016fa9770200a576daa7d88e91ef23c01e0b1f752ab79838c0e22010f8c9	586.3015275001526	sh03-06n08.int	39403795	45	complete
sub-055	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-055.npz	5d49e5a9a8b298663c543d3e3e61fcaa4438b25caa8fdf3dd0a60d9e64f33ea2	750.0355970859528	sh03-06n06.int	39403854	46	complete
sub-056	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-056.npz	716f060d82272101efdc2e7e8b44aea07c1a38244d9817676ba5360a6ecbb2d0	581.0846872329712	sh04-04n22.int	39403855	47	complete
sub-057	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-057.npz	2bf329bea19eeb48043e684f17282d4bf492a60e119d360275eb5f8881c9cf31	563.5937492847443	sh04-04n24.int	39403915	48	complete
sub-058	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-058.npz	68eaf665537e572620b1eaecfa8f00fef1b0bdedddd9ff493c7eab861ce13c1f	789.7667090892792	sh02-06n01.int	39403993	49	complete
sub-059	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-059.npz	dc514a5154bb2b39e705298a314f143ae4eb7ca19d36eef79ff2e9e904f4d4ec	696.3447616100311	sh03-06n05.int	39403994	50	complete
sub-060	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-060.npz	e63073691c5a20de5999d331e1f01228c54a94fe7addc06306d0060130663d53	550.4107246398926	sh04-04n23.int	39404091	51	complete
sub-061	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-061.npz	78cc5fbfcc8fd8dabcc8c6cd08ac5df2494f6f735f1a06bde58bd11b5a87e203	572.550243139267	sh03-06n08.int	39404092	52	complete
sub-062	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-062.npz	a54a010ec7f6ff107892d828d84bea6fbeadfe91115bf4741b3154fd962c5f38	830.1020104885101	sh02-06n01.int	39404231	53	complete
sub-063	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-063.npz	278bc3b65dcf80ef98868aae018c1a8a4fb4d3215771ce0d95f88933e41d9c0d	640.9791116714478	sh03-06n05.int	39404272	54	complete
sub-064	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-064.npz	0aa92e2783dc8af00e75fd9171d92d462049c35979fa1ef345fce12c00b62001	615.3653461933136	sh03-06n06.int	39404440	55	complete
sub-066	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-066.npz	8baad7f13fff2c1b6ccb3174f5546617cea642512f437dcb338e8f1e44107a62	576.7616186141968	sh03-06n09.int	39404441	56	complete
sub-067	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-067.npz	66e57f9c224d9640d038ef254cc3e6ef874b274fcb22fe89dd06f6c46e904a1e	616.7992985248566	sh03-06n09.int	39404442	57	complete
sub-068	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-068.npz	173f0f8e4726f364973aebfbe6c81f4f264998510ddf2b86984f1af552d25651	658.8222868442535	sh03-06n09.int	39404443	58	complete
sub-069	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-069.npz	5737c3551d260f8879b648c1298b794336b1a2243e78b6e8dc75fcd4b3fce6f7	675.5216479301453	sh03-06n09.int	39404444	59	complete
sub-070	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-070.npz	8e412df3b0101c6d54733c9de649bdad20b9fb9e2589a488bc6cdd567540eeab	586.2143394947052	sh03-06n09.int	39404445	60	complete
sub-071	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-071.npz	605853b8a36b6d9a8565c04fe585c3a29a0216a62f2734635919be9f84f514e4	592.6298370361328	sh03-06n09.int	39404446	61	complete
sub-072	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-072.npz	9641bdd7d90390367ebb12657aabb26cfa73dfc5c3a6219f0e335515282b38e8	602.98410820961	sh03-06n09.int	39404447	62	complete
sub-073	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-073.npz	b7f27e3add47737815e542dae8c35037cee42be21d17fbf8bbcdc3c9645822d4	629.9468996524811	sh03-06n11.int	39404448	63	complete
sub-074	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-074.npz	693ca8763ec9b65ea6719d521d122ef73350fc2d79932f9e31784d5f8e88a208	725.3648571968079	sh03-06n06.int	39404451	64	complete
sub-075	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-075.npz	3d11d62e65b74f858fc8d667e16d376f5862bf409254dd1939aba5e437fc04d6	595.7991178035736	sh03-06n06.int	39404452	65	complete
sub-076	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-076.npz	f18a4603e0efc24bf4085ea46ce1c41cb57bdc1df84f0c890060b57381b1b053	567.569198846817	sh03-06n08.int	39404458	66	complete
sub-077	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-077.npz	f05aa34383a9b3fe8ae301f768cfde7fd994f9c5de1eb2b3bbf232461971b2cb	607.6556787490845	sh03-06n08.int	39404565	67	complete
sub-079	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-079.npz	cf6dd1aa3346d8a9bad9e9cfb915938b63401d3c05dd921d469b71d7339c1439	660.4227223396301	sh03-06n08.int	39404573	68	complete
sub-080	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-080.npz	40f213acd244cabe3c7289c16ac91479645ac6d4dd06fd029f71173666126182	623.2759108543396	sh03-06n06.int	39404574	69	complete
sub-081	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-081.npz	fe40db728e1f34d61b71d8d03cd3ba7bca0f221d982c53ac6ef92b96483ae9a9	573.9991862773895	sh04-04n22.int	39404608	70	complete
sub-082	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-082.npz	5a09ea05d764c3d625179f2fc762a1c33a7bf5fd4552adcc446a6ac8acf9edd1	649.1371624469757	sh04-04n24.int	39404748	71	complete
sub-083	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-083.npz	64013769e62ccfb7c9cf4d667acc6d10c3ea5a05ad2a86ed8eb4a2a73d95b4f5	641.6786077022552	sh03-06n06.int	39404765	72	complete
sub-084	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-084.npz	39bfd914436c16d22d663c0eea2281e573e7135a685d17ba8706f3fe457a6ad3	616.2334899902344	sh04-04n23.int	39404766	73	complete
sub-085	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-085.npz	38bc5109b85614e9d3f8dd1bce5b3df6b73e7ef9571691f9536e37cd525ff454	628.9707369804382	sh03-06n05.int	39404948	74	complete
sub-087	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-087.npz	4184380acc1934ec6b503c2ef1fd564df8f094e25377e35b246e24d45e0928e7	582.3596289157867	sh03-06n08.int	39405069	75	complete
sub-088	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-088.npz	6d2c8d154d2ab3019cd76671b8dbc5a857378203febe189972f64b89eda35d05	880.6990270614624	sh02-06n01.int	39405266	76	complete
sub-089	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-089.npz	4a050d19fdf163f15fa449edd98d75e7df9f2d4628a6a3280547b4567b9a9867	594.8674533367157	sh03-06n06.int	39405267	77	complete
sub-090	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-090.npz	105102fe7acb9bb1bf62b1c99d8f064b0a84d3a7d7d3b519c33d2514f1b3c754	660.8002743721008	sh03-06n05.int	39405363	78	complete
sub-092	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-092.npz	d128ad46999300643064db6c3cdb7eed4b3344943f8de915e5a19a93e44ead57	627.5095357894897	sh03-06n09.int	39405445	79	complete
sub-093	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-093.npz	e6a09774349fabfab7db11d9c89c69efefe701524fc0c35563c4d6f130d4deaa	569.6300873756409	sh03-06n06.int	39405468	80	complete
sub-094	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-094.npz	e0146e06fbe65bcbe259e58757abe9f7161b9a3771197ca68ab9e4a1f8e19a56	630.7335760593414	sh03-06n08.int	39405469	81	complete
sub-095	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-095.npz	5ebf6e029bd90b3ef6bb2d5fa1ab10052c73517d215a5d91a2dc74ac4aef52f4	619.0008111000061	sh03-06n08.int	39405620	82	complete
sub-096	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-096.npz	97f646c141c6ab2a4698b33ebb449aa3c44fa3147dc0b7349d620fcb002f38bf	618.0094757080078	sh03-06n09.int	39405621	83	complete
sub-098	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-098.npz	962b4b82758636f03320c36f03f0757f7e1a6f21741a98a80d6c548aed1c272c	561.712651014328	sh03-06n09.int	39405622	84	complete
sub-099	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-099.npz	feddd8dadee0b9c558e668c520c6d3f8a83a7811aaf01df1416f8287687e1e54	651.8338894844055	sh03-06n09.int	39405623	85	complete
sub-100	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-100.npz	6d757b6c58833a3c809d9446068947961b0b53c68f429a75b5fb42b99e29b672	555.8986117839813	sh03-06n09.int	39405624	86	complete
sub-102	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-102.npz	3913d1eb5656b97c26e29f711699ac7eca5f2547d18944f5a14ecde076161ffd	611.0510563850403	sh03-06n09.int	39405625	87	complete
sub-103	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-103.npz	01cc9d9c3300eb8ea7ed8d5de0286ca1fea5adcde7727bb26ac467f3becb8a81	574.6939768791199	sh03-06n09.int	39405635	88	complete
sub-104	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-104.npz	a7cdee553fb89fddfcc6293cb77e6d0aad2026b5844f91cb28999817d707a47f	790.5684294700623	sh03-06n06.int	39405636	89	complete
sub-105	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-105.npz	918a8240a0fb3d0314cefa08170760257f954f5af3c69d5946f4ae49bcbbb451	701.3648993968964	sh03-06n09.int	39405694	90	complete
sub-106	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-106.npz	810525ebf87a7ea48288539d91d4a76f2003a0859041eda79303477423adac3e	579.1584777832031	sh04-04n22.int	39405699	91	complete
sub-107	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-107.npz	57a9a9fc2050c05aec68cb5f8a4ea86f93525cc8b800e2f6393eb13c0f8cb1c5	813.8268406391144	sh02-06n01.int	39405707	92	complete
sub-108	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-108.npz	d62ed4ea508da9252f0cdaa4561a106bf511d5be6aade369a33d105a0ebd3f7e	613.0589661598206	sh03-06n06.int	39405787	93	complete
sub-109	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-109.npz	1b08aee2e5f87a602a9bc86e26a204092059dfd917a46c3c9c41deff8c0b43e8	733.4685871601105	sh03-06n08.int	39405788	94	complete
sub-110	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-110.npz	2563251b2b34710c6f907e2438a5ffac37a5fec1b43fb8a353b4c018cdb29c21	571.419272184372	sh04-04n24.int	39405791	95	complete
sub-112	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-112.npz	e2dd38bcb58b14c9dc75eb89c96bc652e948cb6cee4e4fbd81c5ee1954e7e8f8	618.1212742328644	sh03-06n06.int	39405792	96	complete
sub-113	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-113.npz	c4b58429cfe4656c17d1578de4ad4010b022fde420d7be8dd0e6339fb2fa6eae	609.2751743793488	sh04-04n23.int	39406007	97	complete
sub-114	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-114.npz	99bcfe6bc3f8fb203f5ee44a4bf6f389bf6f1e72c03ff53e3e5b593472f2d520	566.6134207248688	sh03-06n11.int	39406171	98	complete
sub-115	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-115.npz	7944952d26db7b980c63f781245006d0e96985761fbf0a7909ad563255332d3e	629.1138563156128	sh03-06n05.int	39406177	99	complete
sub-116	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-116.npz	eec365486e0e9512accfa462bfdf82299b05691dc907d219cb874e8298d82f70	643.5185515880585	sh03-06n06.int	39406351	100	complete
sub-117	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-117.npz	e0b06269e49efde0998efbaedabeec5ccba8b8869268d44ee5228b915d69514c	641.2544820308685	sh03-06n09.int	39406423	101	complete
sub-118	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-118.npz	e62e888b276b925158765e1f0a7ede38014e61e5137832e114fd3638e60e5418	614.0146944522858	sh03-06n09.int	39406560	102	complete
sub-119	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-119.npz	7711cec3806c0b25c4efd3f17febe3e1c1aa44556369467409924ac1cbcd3dd1	653.8364465236664	sh03-06n09.int	39406818	103	complete
sub-120	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-120.npz	88db436c4e72fda1d379627bc625c11fbd3c754d1ad9cac6b6c1ef51f396b85d	644.9440417289734	sh03-06n05.int	39406857	104	complete
sub-121	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-121.npz	f247494ee66f113da53a5037a94ad9cb51fb4025b05e334e76e0bd525bee3ef0	598.3677186965942	sh03-06n06.int	39406858	105	complete
sub-123	equalIndifference	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-123.npz	5a71e3b09b4f07416ed8aadeb27d5974940cd51b7c3ddd0311e6ff75429486b4	665.9499242305756	sh03-06n08.int	39406940	106	complete
sub-124	equalRange	/scratch/users/zijiao/episode02_narps_analysis/checkpoints/sub-124.npz	4c3f5c0a871e0afa7451084c1691a3b725caa885d1f44a9512efe4b2125fdf9a	646.5410330295563	sh03-06n08.int	39401862	107	complete
